order_id,order_date,region,channel,category,product,unit_price,quantity,discount_rate,revenue
36,2024-07-14,North,Online,Home,Cookware,268.59,4,0.15,913.49
37,2024-11-05,West,Online,Grocery,Snacks,101.62,3,0.15,257.79
38,2024-05-02,East,Online,Fashion,Jacket,226.57,1,0.05,214.68
39,2024-01-02,West,Store,Fashion,T-Shirt,251.02,1,0.03,243.33
40,2024-09-30,North,Online,Home,Table,66.97,4,0.06,251.24
41,2024-12-31,West,Online,Grocery,Beverages,51.73,3,0.0,154.76
42,2024-03-04,North,Online,Electronics,Headphones,45.33,3,0.1,122.22
43,2024-12-05,East,Store,Home,Chair,243.2,1,0.14,208.4
44,2024-01-31,East,Store,Electronics,Phone,278.99,1,0.08,256.81
45,2024-12-22,South,Online,Home,Table,287.13,3,0.06,812.04
46,2024-12-17,West,Online,Electronics,Laptop,193.85,3,0.02,569.24
47,2024-09-21,North,Store,Home,Lamp,182.85,4,0.19,594.92
48,2024-09-27,West,Online,Home,Table,15.17,4,0.02,59.37
49,2024-04-15,West,Online,Beauty,Perfume,163.92,1,0.12,144.06
50,2024-12-07,West,Store,Beauty,Perfume,118.51,2,0.09,216.84
51,2024-02-11,East,Store,Grocery,Beverages,81.87,2,0.05,156.0
52,2024-12-30,East,Store,Grocery,Spices,29.3,1,0.12,25.82
53,2024-05-10,North,Online,Grocery,Beverages,51.72,2,0.18,84.39
54,2024-08-07,North,Online,Fashion,Shoes,43.49,1,0.0,43.31
55,2024-09-16,North,Online,Electronics,Speaker,181.43,1,0.14,156.73
56,2024-10-20,South,Store,Fashion,Jacket,263.75,3,0.17,656.56
57,2024-07-15,North,Online,Electronics,Speaker,82.32,1,0.11,72.92
58,2024-12-13,South,Online,Electronics,Headphones,161.89,2,0.02,317.19
59,2024-02-04,West,Online,Electronics,Phone,38.74,4,0.17,128.83
60,2024-10-20,West,Online,Grocery,Beverages,236.05,4,0.13,822.87
61,2024-08-13,West,Store,Electronics,Speaker,159.12,3,0.17,395.5
62,2024-11-01,South,Store,Fashion,Shoes,87.27,3,0.03,254.5
63,2024-06-07,South,Online,Home,Table,116.58,1,0.07,108.04
64,2024-09-26,South,Online,Fashion,T-Shirt,96.09,3,0.19,233.57
65,2024-09-02,West,Store,Home,Cookware,165.28,2,0.17,274.45
66,2024-06-28,East,Online,Grocery,Cereal,193.55,3,0.06,547.18
67,2024-03-05,East,Online,Fashion,Shoes,259.61,3,0.03,758.25
68,2024-12-14,East,Store,Electronics,Laptop,34.5,3,0.19,84.13
69,2024-09-21,North,Store,Grocery,Snacks,182.17,4,0.16,614.62
70,2024-12-30,West,Store,Grocery,Snacks,181.12,2,0.02,355.36
71,2024-07-09,East,Online,Electronics,Headphones,176.0,3,0.09,478.81
72,2024-09-05,East,Store,Beauty,Shampoo,152.72,4,0.12,537.64
73,2024-02-20,West,Store,Electronics,Speaker,35.44,1,0.13,30.77
74,2024-09-23,South,Store,Beauty,Skincare,106.75,3,0.18,262.72
75,2024-10-26,West,Store,Fashion,Jacket,101.19,2,0.03,196.0
76,2024-12-17,North,Online,Grocery,Cereal,121.16,2,0.15,206.96
77,2024-03-05,East,Store,Grocery,Beverages,149.02,4,0.08,551.2
78,2024-08-26,West,Online,Beauty,Shampoo,44.36,4,0.17,147.25
79,2024-11-17,East,Online,Electronics,Phone,208.97,3,0.0,625.36
80,2024-02-05,South,Store,Grocery,Beverages,142.98,2,0.09,260.66
81,2024-01-05,South,Store,Grocery,Cereal,42.07,4,0.2,134.73
82,2024-01-17,West,Store,Fashion,Jacket,40.86,4,0.2,130.79
83,2024-01-09,East,Online,Beauty,Makeup,270.14,1,0.01,268.57
84,2024-03-31,North,Online,Electronics,Speaker,67.48,4,0.18,220.76
85,2024-04-15,East,Store,Electronics,Headphones,24.98,1,0.12,21.95
86,2024-12-24,West,Store,Fashion,Jeans,26.6,4,0.16,89.35
87,2024-12-20,West,Online,Beauty,Shampoo,253.01,3,0.01,752.95
88,2024-06-15,North,Online,Electronics,Laptop,226.1,3,0.13,592.84
89,2024-02-01,West,Online,Electronics,Speaker,65.98,3,0.05,187.23
90,2024-02-06,East,Store,Grocery,Cereal,25.81,3,0.12,67.87
91,2024-01-02,North,Online,Grocery,Beverages,60.21,3,0.02,177.31
92,2024-10-08,North,Online,Grocery,Cereal,237.38,2,0.13,414.34
93,2024-11-15,East,Online,Electronics,Headphones,97.39,4,0.12,344.52
94,2024-07-15,East,Online,Beauty,Perfume,53.05,4,0.1,190.62
95,2024-09-09,South,Store,Home,Lamp,48.89,1,0.06,46.17
96,2024-02-04,South,Store,Home,Cookware,194.04,3,0.08,534.18
97,2024-02-26,South,Store,Fashion,Jacket,101.94,3,0.01,303.62
98,2024-04-19,South,Online,Home,Lamp,176.01,1,0.11,156.1
99,2024-08-03,East,Store,Beauty,Makeup,101.7,3,0.16,257.06
100,2024-05-05,East,Online,Home,Table,114.59,3,0.1,308.52
101,2024-10-22,East,Store,Grocery,Snacks,156.05,4,0.1,559.26
102,2024-04-08,West,Online,Fashion,Shoes,153.3,4,0.02,599.0
103,2024-01-21,North,Store,Grocery,Spices,91.38,1,0.07,85.27
104,2024-06-27,North,Store,Fashion,T-Shirt,14.26,3,0.17,35.7
105,2024-09-15,West,Online,Fashion,Shoes,184.24,1,0.02,179.83
106,2024-07-05,South,Store,Grocery,Snacks,233.91,4,0.06,877.45
107,2024-10-09,East,Online,Beauty,Shampoo,195.86,2,0.0,390.87
108,2024-09-04,North,Store,Home,Chair,58.11,1,0.17,48.39
109,2024-12-02,West,Store,Home,Lamp,297.19,4,0.03,1155.11
110,2024-07-03,South,Store,Fashion,Jeans,229.05,1,0.09,209.17
111,2024-06-24,South,Store,Electronics,Phone,273.06,1,0.01,270.62
112,2024-08-19,North,Online,Fashion,T-Shirt,180.07,2,0.1,324.61
113,2024-01-06,North,Online,Fashion,Jacket,194.9,4,0.13,678.39
114,2024-05-28,East,Store,Beauty,Makeup,116.32,1,0.11,103.77
115,2024-11-18,South,Store,Grocery,Beverages,232.9,2,0.17,386.43
116,2024-05-15,East,Online,Grocery,Beverages,256.58,3,0.07,717.31
117,2024-08-01,South,Store,Home,Table,125.58,1,0.18,102.54
118,2024-08-18,East,Online,Electronics,Headphones,65.56,2,0.0,130.48
119,2024-08-10,West,Store,Home,Chair,183.56,2,0.0,366.58
120,2024-06-01,South,Online,Beauty,Makeup,294.72,3,0.12,774.47
121,2024-11-17,South,Store,Beauty,Makeup,219.0,4,0.19,707.25
122,2024-08-16,West,Online,Grocery,Snacks,222.4,1,0.09,202.82
123,2024-08-25,East,Store,Beauty,Perfume,295.53,4,0.06,1113.97
124,2024-10-27,East,Store,Beauty,Makeup,45.92,2,0.01,91.09
125,2024-07-04,West,Store,Home,Cookware,144.84,4,0.2,466.05
126,2024-03-29,South,Online,Beauty,Makeup,171.08,1,0.16,143.64
127,2024-04-07,West,Online,Grocery,Snacks,118.08,1,0.01,116.93
128,2024-05-15,North,Store,Beauty,Shampoo,234.38,3,0.17,581.43
129,2024-09-27,East,Online,Grocery,Beverages,78.02,1,0.12,68.31
130,2024-03-26,West,Online,Electronics,Speaker,206.41,3,0.01,615.57
131,2024-10-05,South,Store,Grocery,Cereal,78.92,3,0.17,196.38
132,2024-07-10,South,Store,Grocery,Spices,181.19,2,0.08,333.62
133,2024-02-11,South,Store,Grocery,Spices,34.6,1,0.07,32.23
134,2024-06-13,East,Online,Grocery,Cereal,95.94,4,0.08,352.47
135,2024-07-14,North,Online,Home,Lamp,213.26,4,0.12,751.48
136,2024-01-23,South,Online,Grocery,Snacks,48.97,2,0.07,90.78
137,2024-01-31,North,Online,Fashion,Shoes,141.45,1,0.13,123.5
138,2024-11-18,South,Online,Home,Cookware,228.07,4,0.11,813.59
139,2024-12-24,South,Online,Grocery,Beverages,104.35,1,0.18,85.38
140,2024-04-21,East,Store,Beauty,Skincare,199.5,3,0.06,562.66
141,2024-11-08,North,Online,Fashion,T-Shirt,263.55,1,0.06,248.62
142,2024-01-23,East,Online,Beauty,Makeup,137.13,4,0.1,496.28
143,2024-12-13,West,Store,Beauty,Perfume,271.74,4,0.16,915.75
144,2024-06-21,North,Online,Home,Chair,199.35,1,0.19,161.26
145,2024-10-12,East,Store,Home,Lamp,288.33,1,0.02,282.39
146,2024-04-17,North,Online,Fashion,Shoes,141.98,1,0.1,127.33
147,2024-10-16,South,Online,Electronics,Speaker,121.51,1,0.01,120.04
148,2024-11-24,East,Online,Fashion,Jacket,124.3,2,0.08,227.88
149,2024-02-25,North,Online,Electronics,Phone,10.36,4,0.1,37.22
150,2024-04-10,South,Online,Fashion,Jeans,236.37,2,0.17,393.2
151,2024-07-12,South,Online,Fashion,Shoes,149.16,1,0.14,128.78
152,2024-05-02,North,Store,Fashion,T-Shirt,24.09,4,0.09,87.46
153,2024-11-12,East,Online,Electronics,Laptop,50.08,1,0.18,40.88
154,2024-02-02,North,Store,Electronics,Speaker,42.08,1,0.12,36.86
155,2024-06-23,North,Online,Home,Lamp,256.34,3,0.0,768.28
156,2024-04-12,West,Store,Beauty,Perfume,234.15,1,0.17,194.09
157,2024-04-16,South,Online,Grocery,Cereal,184.99,2,0.2,297.12
158,2024-01-30,South,Store,Grocery,Snacks,241.77,2,0.12,425.45
159,2024-04-18,North,Store,Home,Table,32.65,2,0.01,64.91
160,2024-09-26,South,Online,Electronics,Laptop,220.3,1,0.14,189.1
161,2024-04-20,East,Store,Fashion,T-Shirt,182.21,4,0.03,710.47
162,2024-10-11,North,Store,Beauty,Skincare,157.11,1,0.2,125.95
163,2024-04-06,North,Store,Electronics,Laptop,179.55,4,0.03,699.95
164,2024-07-28,West,Online,Grocery,Beverages,190.32,3,0.05,539.76
165,2024-09-21,North,Online,Home,Lamp,202.45,2,0.17,337.18
166,2024-03-10,North,Online,Home,Lamp,263.43,1,0.05,250.06
167,2024-08-14,East,Online,Home,Table,206.51,2,0.15,353.07
168,2024-10-06,East,Online,Beauty,Makeup,131.59,4,0.1,472.19
169,2024-12-10,North,Online,Beauty,Perfume,128.31,3,0.02,377.68
170,2024-10-09,West,Store,Fashion,T-Shirt,53.32,3,0.19,129.19
171,2024-04-07,North,Store,Electronics,Speaker,274.65,4,0.04,1051.98
172,2024-05-05,South,Store,Beauty,Makeup,119.93,4,0.1,430.1
173,2024-02-02,East,Store,Beauty,Makeup,175.28,4,0.02,686.45
174,2024-10-11,West,Store,Grocery,Spices,38.96,4,0.04,149.47
175,2024-06-06,East,Online,Electronics,Headphones,119.37,4,0.14,408.8
176,2024-12-06,West,Store,Fashion,Shoes,186.53,2,0.12,329.72
177,2024-05-20,South,Online,Beauty,Makeup,145.62,4,0.04,559.54
178,2024-05-03,South,Online,Fashion,Jacket,57.23,1,0.14,49.4
179,2024-01-18,South,Online,Grocery,Cereal,38.69,1,0.15,32.86
180,2024-08-01,West,Online,Fashion,Jeans,63.87,1,0.1,57.2
181,2024-01-21,South,Online,Fashion,T-Shirt,149.63,1,0.19,120.92
182,2024-03-30,East,Store,Home,Cookware,83.21,1,0.06,78.3
183,2024-04-24,West,Online,Grocery,Spices,295.52,4,0.2,949.85
184,2024-05-09,West,Store,Electronics,Phone,98.3,1,0.11,87.43
185,2024-06-04,North,Store,Grocery,Cereal,167.29,3,0.03,485.26
186,2024-01-30,South,Online,Electronics,Headphones,179.43,4,0.15,612.18
187,2024-09-27,South,Store,Fashion,Jacket,230.4,2,0.15,389.63
188,2024-01-16,North,Store,Grocery,Beverages,269.88,1,0.02,264.46
189,2024-05-20,South,Online,Grocery,Cereal,129.93,1,0.09,118.24
190,2024-03-08,North,Store,Beauty,Skincare,263.63,4,0.07,982.94
191,2024-07-14,East,Store,Fashion,Jeans,56.76,1,0.19,46.09
192,2024-01-28,West,Online,Beauty,Perfume,152.28,3,0.11,408.43
193,2024-05-23,East,Store,Home,Chair,46.44,1,0.19,37.6
194,2024-02-02,South,Store,Grocery,Snacks,170.78,1,0.04,163.69
195,2024-03-01,South,Store,Electronics,Phone,275.89,1,0.06,258.14
196,2024-12-01,East,Online,Home,Cookware,164.25,2,0.04,316.19
197,2024-11-03,West,Online,Grocery,Spices,145.94,3,0.03,424.43
198,2024-10-30,West,Store,Fashion,Shoes,109.3,1,0.16,91.93
199,2024-08-28,East,Online,Beauty,Makeup,71.47,4,0.18,233.05
200,2024-07-13,South,Online,Beauty,Shampoo,298.08,1,0.06,281.33
201,2024-11-17,North,Online,Home,Cookware,54.17,1,0.13,47.32
202,2024-06-30,South,Online,Grocery,Cereal,220.59,2,0.09,400.5
203,2024-04-20,East,Store,Home,Lamp,285.52,2,0.07,531.9
204,2024-07-22,North,Online,Beauty,Shampoo,21.67,4,0.09,78.9
205,2024-04-16,West,Store,Beauty,Perfume,164.11,4,0.13,569.79
206,2024-03-04,South,Online,Grocery,Cereal,224.17,2,0.08,412.19
207,2024-11-23,East,Online,Beauty,Makeup,273.06,3,0.08,750.47
208,2024-03-10,East,Online,Fashion,Shoes,137.61,2,0.03,268.3
209,2024-10-29,North,Online,Beauty,Skincare,202.24,3,0.0,604.33
210,2024-11-20,South,Store,Electronics,Headphones,259.58,4,0.05,987.1
211,2024-11-30,East,Online,Electronics,Speaker,50.21,2,0.06,94.73
212,2024-04-12,East,Store,Grocery,Cereal,167.2,1,0.14,143.75
213,2024-10-08,West,Store,Beauty,Makeup,191.39,2,0.06,358.24
214,2024-09-19,West,Store,Fashion,Jeans,16.74,3,0.08,46.19
215,2024-09-13,West,Store,Beauty,Perfume,281.42,2,0.17,466.71
216,2024-04-30,South,Store,Home,Table,193.34,2,0.07,360.84
217,2024-10-23,North,Online,Grocery,Spices,254.56,4,0.2,819.04
218,2024-01-08,East,Store,Beauty,Skincare,149.38,4,0.09,542.96
219,2024-09-13,North,Store,Beauty,Makeup,84.76,2,0.12,149.66
220,2024-05-12,South,Online,Fashion,Shoes,259.57,4,0.03,1003.44
221,2024-05-13,North,Online,Fashion,Jeans,253.36,4,0.03,985.4
222,2024-09-13,West,Store,Electronics,Headphones,299.6,2,0.04,576.11
223,2024-12-12,North,Online,Home,Chair,280.54,3,0.2,676.53
224,2024-08-19,North,Store,Electronics,Laptop,88.48,4,0.18,291.3
225,2024-03-22,East,Online,Electronics,Laptop,61.14,4,0.08,223.86
226,2024-07-04,East,Online,Home,Chair,199.28,3,0.2,479.22
227,2024-01-09,West,Online,Home,Lamp,221.07,1,0.2,177.89
228,2024-04-27,South,Online,Home,Lamp,24.91,2,0.13,43.12
229,2024-10-06,South,Online,Beauty,Makeup,248.16,4,0.08,909.91
230,2024-05-24,South,Online,Beauty,Makeup,152.46,4,0.18,500.93
231,2024-04-07,North,Store,Grocery,Spices,54.52,1,0.11,48.7
232,2024-04-12,North,Store,Electronics,Headphones,136.53,1,0.15,115.38
233,2024-02-06,North,Online,Beauty,Makeup,58.72,4,0.03,227.98
234,2024-01-24,West,Online,Grocery,Cereal,247.57,3,0.02,728.93
235,2024-06-03,South,Store,Beauty,Makeup,228.18,2,0.1,410.33
236,2024-07-16,West,Store,Home,Chair,73.56,2,0.04,141.0
237,2024-08-25,West,Store,Electronics,Speaker,61.12,1,0.04,58.98
238,2024-01-17,West,Online,Fashion,Shoes,49.79,4,0.13,173.13
239,2024-03-06,South,Store,Fashion,T-Shirt,292.92,4,0.17,967.15
240,2024-06-15,North,Store,Fashion,Jeans,93.83,3,0.15,240.14
241,2024-01-03,East,Store,Home,Chair,216.05,4,0.01,859.62
242,2024-07-13,North,Store,Beauty,Perfume,85.45,2,0.08,156.6
243,2024-04-04,West,Online,Grocery,Beverages,121.76,3,0.05,345.5
244,2024-02-18,East,Online,Fashion,Jeans,206.23,3,0.01,610.51
245,2024-05-12,North,Online,Fashion,Shoes,197.42,4,0.03,762.54
246,2024-11-03,West,Online,Home,Cookware,281.31,2,0.01,555.92
247,2024-05-04,North,Online,Home,Chair,207.06,1,0.04,198.2
248,2024-11-22,North,Online,Fashion,T-Shirt,61.08,2,0.03,118.87
249,2024-08-26,West,Online,Fashion,Jeans,26.03,2,0.07,48.34
250,2024-05-05,South,Store,Beauty,Perfume,267.63,1,0.19,217.87
251,2024-09-12,North,Store,Electronics,Headphones,189.68,1,0.02,185.05
252,2024-03-13,West,Store,Beauty,Skincare,162.56,4,0.2,520.62
253,2024-06-10,North,Online,Home,Lamp,285.11,2,0.12,504.43
254,2024-12-01,West,Store,Electronics,Speaker,154.61,4,0.1,557.36
255,2024-04-16,West,Store,Fashion,Jacket,179.58,2,0.03,349.96
256,2024-08-27,South,Online,Electronics,Speaker,261.18,1,0.12,230.4
257,2024-07-30,South,Store,Home,Chair,193.61,2,0.19,315.45
258,2024-10-20,West,Store,Fashion,Jacket,140.8,2,0.11,249.62
259,2024-05-20,South,Online,Beauty,Perfume,103.01,3,0.07,287.65
260,2024-01-26,South,Store,Electronics,Phone,219.7,1,0.08,202.61
261,2024-11-11,North,Store,Home,Cookware,84.65,4,0.17,282.62
262,2024-12-21,West,Online,Home,Lamp,25.25,3,0.19,61.42
263,2024-11-06,South,Online,Grocery,Spices,11.34,3,0.01,33.76
264,2024-12-08,East,Store,Home,Lamp,225.6,1,0.17,187.15
265,2024-03-28,South,Online,Home,Chair,238.13,1,0.07,222.38
266,2024-11-18,West,Store,Fashion,Jacket,88.4,3,0.03,256.68
267,2024-06-08,West,Online,Home,Lamp,289.97,3,0.19,702.27
268,2024-10-16,West,Store,Electronics,Speaker,264.66,3,0.07,734.52
269,2024-02-12,North,Online,Grocery,Cereal,173.67,2,0.2,279.12
270,2024-09-23,East,Store,Home,Cookware,131.11,2,0.02,256.01
271,2024-11-18,West,Online,Grocery,Snacks,98.1,2,0.17,161.89
272,2024-01-25,North,Store,Home,Table,210.14,2,0.03,406.54
273,2024-08-17,East,Online,Fashion,Jacket,21.63,3,0.09,58.89
274,2024-12-17,East,Store,Fashion,Jeans,64.66,1,0.07,60.21
275,2024-03-08,North,Store,Grocery,Snacks,244.6,2,0.19,393.86
276,2024-03-30,North,Store,Beauty,Shampoo,193.93,4,0.09,709.15
277,2024-02-18,South,Online,Electronics,Headphones,298.13,3,0.19,722.89
278,2024-08-29,North,Online,Beauty,Makeup,271.87,2,0.01,538.83
279,2024-04-23,West,Store,Grocery,Spices,27.35,1,0.17,22.78
280,2024-12-08,North,Store,Home,Lamp,174.56,4,0.08,642.77
281,2024-10-17,South,Store,Electronics,Headphones,100.09,4,0.04,385.2
282,2024-07-06,South,Online,Grocery,Snacks,261.52,1,0.14,224.5
283,2024-07-16,West,Online,Grocery,Cereal,283.58,4,0.03,1105.53
284,2024-12-03,West,Online,Home,Chair,270.69,3,0.19,654.23
285,2024-06-09,East,Store,Home,Chair,122.04,2,0.07,226.43
286,2024-03-12,South,Online,Electronics,Laptop,236.16,1,0.09,215.09
287,2024-03-11,West,Store,Beauty,Skincare,55.68,1,0.04,53.39
288,2024-04-13,West,Store,Fashion,Jeans,281.49,3,0.2,679.43
289,2024-01-15,North,Store,Electronics,Phone,28.37,1,0.04,27.26
290,2024-02-24,East,Online,Grocery,Beverages,191.54,3,0.04,551.41
291,2024-07-04,West,Store,Beauty,Makeup,285.16,4,0.07,1061.29
292,2024-02-11,North,Online,Fashion,Jeans,284.25,2,0.08,525.49
293,2024-04-29,West,Online,Home,Chair,103.01,1,0.13,89.56
294,2024-03-04,East,Online,Home,Cookware,219.35,1,0.03,211.94
295,2024-09-18,West,Store,Electronics,Speaker,154.32,1,0.1,138.28
296,2024-01-12,East,Store,Home,Chair,151.02,4,0.1,546.34
297,2024-12-03,South,Store,Electronics,Laptop,76.11,3,0.13,199.21
298,2024-08-11,North,Store,Grocery,Snacks,270.06,2,0.1,488.75
299,2024-09-19,North,Store,Grocery,Cereal,236.71,3,0.09,649.32
300,2024-06-15,East,Online,Grocery,Spices,110.83,3,0.13,288.42
301,2024-10-11,East,Store,Grocery,Cereal,133.27,2,0.16,223.25
302,2024-05-15,East,Online,Beauty,Perfume,72.49,2,0.15,123.38
303,2024-05-07,North,Online,Electronics,Phone,226.71,3,0.18,558.42
304,2024-09-25,South,Store,Electronics,Headphones,54.78,4,0.04,210.47
305,2024-05-24,South,Online,Home,Lamp,230.56,4,0.14,791.62
306,2024-11-02,North,Store,Fashion,Jacket,52.75,2,0.05,99.74
307,2024-03-31,South,Online,Electronics,Laptop,214.46,3,0.01,634.38
308,2024-06-03,South,Online,Beauty,Makeup,246.37,3,0.09,672.85
309,2024-06-09,West,Online,Fashion,Jeans,61.14,2,0.09,110.85
310,2024-05-05,South,Store,Fashion,Jacket,101.02,4,0.05,382.02
311,2024-05-13,North,Online,Home,Table,117.09,2,0.05,223.13
312,2024-07-16,West,Online,Grocery,Beverages,196.47,2,0.17,324.79
313,2024-08-16,West,Online,Beauty,Perfume,273.5,4,0.16,920.82
314,2024-05-11,South,Store,Electronics,Laptop,148.39,1,0.1,133.72
315,2024-06-29,South,Online,Home,Cookware,252.62,3,0.02,741.38
316,2024-09-17,North,Online,Beauty,Skincare,298.5,4,0.17,985.55
317,2024-02-13,West,Online,Fashion,T-Shirt,87.74,2,0.12,154.21
318,2024-08-18,West,Online,Fashion,Jacket,95.93,3,0.03,278.01
319,2024-03-22,North,Store,Electronics,Laptop,126.84,4,0.17,422.7
320,2024-01-02,East,Store,Electronics,Laptop,245.48,1,0.05,232.48
321,2024-12-03,West,Store,Electronics,Phone,246.2,3,0.05,703.84
322,2024-12-17,South,Online,Grocery,Cereal,134.69,2,0.09,246.07
323,2024-09-13,South,Store,Beauty,Makeup,119.71,4,0.17,398.87
324,2024-11-03,North,Store,Electronics,Laptop,298.28,3,0.01,887.93
325,2024-03-17,North,Store,Home,Table,35.82,4,0.08,131.96
326,2024-05-03,East,Online,Fashion,T-Shirt,66.69,1,0.08,61.22
327,2024-06-08,South,Store,Grocery,Cereal,210.22,3,0.2,506.67
328,2024-03-01,South,Store,Home,Lamp,81.3,4,0.15,277.75
329,2024-02-01,West,Store,Electronics,Phone,68.16,2,0.04,131.27
330,2024-05-27,South,Online,Fashion,T-Shirt,273.21,4,0.16,917.38
331,2024-08-20,South,Store,Fashion,T-Shirt,49.16,2,0.19,79.76
332,2024-07-06,South,Store,Fashion,Jeans,125.77,4,0.01,499.53
333,2024-02-01,North,Store,Beauty,Perfume,71.17,4,0.18,232.45
334,2024-08-12,West,Online,Grocery,Snacks,24.66,1,0.17,20.38
335,2024-07-17,South,Online,Beauty,Makeup,47.21,4,0.16,159.33
336,2024-02-28,West,Online,Beauty,Shampoo,264.24,2,0.11,472.72
337,2024-12-26,East,Online,Grocery,Snacks,93.48,3,0.02,273.82
338,2024-12-27,North,Online,Home,Table,178.97,3,0.08,494.47
339,2024-10-31,West,Store,Grocery,Spices,223.59,1,0.14,193.27
340,2024-04-02,East,Store,Electronics,Phone,288.58,4,0.14,987.68
341,2024-10-24,West,Online,Grocery,Beverages,195.08,2,0.09,353.19
342,2024-01-26,West,Online,Electronics,Laptop,263.91,2,0.06,497.83
343,2024-07-08,West,Store,Fashion,Shoes,266.22,4,0.06,1000.72
344,2024-04-01,West,Online,Fashion,T-Shirt,200.96,3,0.17,502.85
345,2024-12-12,North,Online,Fashion,Jacket,173.42,3,0.1,468.7
346,2024-06-22,North,Online,Fashion,Jacket,18.96,4,0.08,69.82
347,2024-06-01,West,Store,Electronics,Phone,84.71,3,0.17,210.08
348,2024-03-22,East,Store,Grocery,Beverages,164.07,1,0.16,138.5
349,2024-10-19,North,Store,Fashion,Jeans,287.97,1,0.14,247.08
350,2024-02-09,East,Online,Beauty,Shampoo,148.08,3,0.09,404.3
351,2024-01-23,East,Online,Fashion,T-Shirt,245.41,4,0.07,913.0
352,2024-12-21,East,Online,Electronics,Phone,271.84,4,0.18,886.87
353,2024-10-29,South,Store,Electronics,Phone,36.1,1,0.02,35.23
354,2024-05-19,North,Online,Grocery,Snacks,48.44,1,0.17,40.42
355,2024-09-25,East,Online,Beauty,Skincare,265.83,3,0.13,695.66
356,2024-06-10,East,Store,Beauty,Perfume,110.36,2,0.09,200.07
357,2024-01-25,North,Online,Beauty,Shampoo,54.52,2,0.05,103.68
358,2024-10-19,West,Store,Fashion,Jacket,258.36,3,0.02,763.02
359,2024-11-18,West,Online,Fashion,Jacket,209.78,1,0.18,171.61
360,2024-02-10,South,Store,Home,Lamp,170.74,2,0.12,299.01
361,2024-06-11,East,Online,Beauty,Shampoo,211.13,1,0.13,182.64
362,2024-07-23,East,Store,Electronics,Speaker,128.62,2,0.02,252.78
363,2024-12-30,North,Online,Home,Cookware,78.75,3,0.17,197.04
364,2024-06-18,East,Online,Beauty,Shampoo,154.77,2,0.12,271.17
365,2024-09-21,West,Store,Home,Cookware,184.58,3,0.15,472.06
366,2024-02-13,North,Online,Home,Table,277.29,2,0.1,499.84
367,2024-07-23,South,Store,Grocery,Cereal,62.46,2,0.04,119.49
368,2024-02-22,North,Store,Electronics,Laptop,233.08,2,0.15,397.78
369,2024-09-16,North,Online,Home,Cookware,282.91,1,0.03,273.44
370,2024-05-27,East,Online,Fashion,Jeans,129.55,3,0.15,329.62
371,2024-02-26,North,Online,Grocery,Spices,229.27,3,0.17,570.91
